,date,home_team,away_team,winner,first_shooter
274,2000-06-07,Iran,Egypt,Egypt,Unknown
275,2000-06-11,Lesotho,Zambia,Lesotho,Unknown
276,2000-06-29,Netherlands,Italy,Italy,Italy
277,2000-07-14,Libya,Chad,Libya,Unknown
278,2000-07-16,Mozambique,Lesotho,Lesotho,Unknown
279,2000-09-03,Togo,Sierra Leone,Togo,Unknown
280,2000-10-04,United Arab Emirates,South Korea,United Arab Emirates,Unknown
281,2000-10-28,Kenya,Uganda,Uganda,Unknown
282,2000-12-02,Ethiopia,Rwanda,Ethiopia,Unknown
283,2001-01-17,China PR,Egypt,Egypt,Unknown
284,2001-01-27,South Korea,Paraguay,South Korea,Unknown
285,2001-02-11,Eswatini,Zambia,Eswatini,Unknown
286,2001-07-12,Ynys Môn,Jersey,Ynys Môn,Unknown
287,2001-07-13,Guernsey,Ynys Môn,Guernsey,Unknown
288,2001-07-29,Uruguay,Honduras,Honduras,Uruguay
289,2001-08-03,China PR,North Korea,North Korea,Unknown
290,2001-08-03,Kuwait,Trinidad and Tobago,Kuwait,Unknown
291,2001-08-05,Kuwait,North Korea,North Korea,Unknown
292,2001-08-18,Zambia,Angola,Angola,Unknown
293,2001-10-24,Kenya,Uganda,Kenya,Unknown
294,2001-10-24,Tanzania,DR Congo,Tanzania,Unknown
295,2001-12-18,Ethiopia,Burundi,Ethiopia,Unknown
296,2002-01-06,Martinique,Haiti,Martinique,Unknown
297,2002-01-26,Canada,Martinique,Canada,Canada
298,2002-01-27,Mexico,South Korea,South Korea,South Korea
299,2002-01-30,United States,Canada,United States,United States
300,2002-02-10,Senegal,Cameroon,Cameroon,Cameroon
301,2002-02-12,Cyprus,Switzerland,Cyprus,Unknown
302,2002-02-15,China PR,Slovenia,Slovenia,Unknown
303,2002-02-16,Thailand,North Korea,North Korea,Unknown
304,2002-03-30,Botswana,South Africa,South Africa,Unknown
305,2002-05-17,Russia,Belarus,Belarus,Unknown
306,2002-05-19,Russia,Serbia,Serbia,Unknown
307,2002-06-16,Spain,Republic of Ireland,Spain,Republic of Ireland
308,2002-06-22,South Korea,Spain,South Korea,South Korea
309,2002-07-21,South Africa,Madagascar,South Africa,Unknown
310,2002-09-05,Iraq,Iran,Iraq,Unknown
311,2002-09-07,Syria,Iran,Iran,Unknown
312,2002-09-17,Iran,Morocco,Iran,Unknown
313,2002-09-19,Iran,Paraguay,Iran,Unknown
314,2002-10-23,Kenya,South Africa,Kenya,Unknown
315,2002-10-26,Tanzania,South Africa,South Africa,Unknown
316,2002-10-26,Kenya,Uganda,Kenya,Unknown
317,2002-11-19,South Africa,Senegal,Senegal,Unknown
318,2002-12-27,Niger,Burkina Faso,Burkina Faso,Unknown
319,2002-12-29,Niger,Mali,Niger,Unknown
320,2003-01-20,Bangladesh,Maldives,Bangladesh,Unknown
